Age (Million years ago),Extinction rate (families per million years)
449,2.7
441,19.4
429,3.0
411,6.2
401,2.8
393,5.8
388,2.9
374,8.9
365,10.0
355,8.0
348,3.5
334,3.5
325,4.7
317,1.2
292,2.8
283,2.1
274,3.2
268,2.3
253,16.2
242,5.3
234,3.8
227,5.4
209,6.3
203,11.1
191,2.2
187,3.9
181,1.2
174,2.4
166,0.9
158,1.5
147,4.2
143,6.7
133,1.2
128,2.7
124,2.0
118,2.2
109,2.2
104,5.3
94,3.4
88,4.6
78,3.5
72,4.2
69,16.5
61,1.6
56,1.9
52,2.8
35,1.0
25,1.3
23,1.7
17,1.8
6,0.7
6,2.0
