Age (Million years ago),Temperature Change (Celsius),Rate Temp Change (Celsius per million years)
450,8.40,36.44
438,4.06,0.84
430,4.34,3.25
423,2.68,3.25
414,7.98,1.88
400,3.69,1.12
388,5.77,2.24
378,5.26,58.78
365,4.34,5.83
353,4.66,0.88
343,3.78,1.67
331,5.91,1.58
319,1.66,0.34
309,3.46,2.01
301,1.06,0.37
295,5.31,2.42
285,1.25,0.63
274,1.25,0.23
264,5.95,6.14
256,9.46,111.21
249,6.14,8.01
242,4.29,1.12
233,3.42,4.02
219,4.57,1.58
205,7.43,19.78
195,2.22,1.26
187,5.08,2.18
176,5.49,3.61
167,1.57,1.54
161,3.32,4.97
151,4.57,4.84
140,2.49,3.56
130,1.80,1.74
120,2.68,3.12
107,2.03,2.36
98,3.78,1.15
89,1.80,0.35
78,4.94,1.43
69,5.22,45.07
61,5.08,58.00
52,1.02,0.32
45,1.66,1.81
38,2.40,5.45
29,1.52,0.78
19,2.03,2.33
